split,filename,qa1_rmse_m,qa1_inliers,qa1_total,qa1_inlier_ratio,qa1_pass,qa2_sam_deg,qa2_pass,verdict
train,ASMSpotter-1-1-1-1.png,inf,0,4,0.0,False,180.0,False,drop
train,ASMSpotter-1-1-1-2.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-1-2-1-1.png,0.856582,410,413,0.992736,False,10.710183,False,drop
train,ASMSpotter-1-2-1-2.png,0.847436,340,357,0.952381,False,11.855405,False,drop
train,ASMSpotter-1-2-1-3.png,0.77385,401,404,0.992574,False,11.367747,False,drop
train,ASMSpotter-1-2-2-1.png,0.903685,671,681,0.985316,False,7.829679,False,drop
train,ASMSpotter-1-2-2-2.png,1.012948,69,70,0.985714,False,8.718163,False,drop
train,ASMSpotter-1-2-2-3.png,0.686946,6,6,1.0,True,8.593446,False,drop
train,ASMSpotter-1-2-3-1.png,0.651099,5,5,1.0,True,10.006168,False,drop
train,ASMSpotter-1-2-3-2.png,0.43753,4,4,1.0,True,10.478224,False,drop
train,ASMSpotter-1-2-3-3.png,1.04925,24,24,1.0,False,11.270006,False,drop
train,ASMSpotter-1-2-3-5.png,1.025002,6,6,1.0,False,10.411767,False,drop
train,ASMSpotter-1-2-3-8.png,0.742661,14,14,1.0,True,9.596024,False,drop
train,ASMSpotter-1-3-2-1.png,0.865611,273,275,0.992727,False,11.044122,False,drop
train,ASMSpotter-1-3-2-2.png,0.899696,381,382,0.997382,False,11.366714,False,drop
train,ASMSpotter-1-3-2-3.png,0.844201,426,426,1.0,False,10.732456,False,drop
train,ASMSpotter-1-3-2-5.png,0.931663,46,46,1.0,False,12.221774,False,drop
train,ASMSpotter-1-3-3-1.png,0.794458,23,23,1.0,False,10.214082,False,drop
train,ASMSpotter-1-3-3-2.png,inf,0,11,0.0,False,180.0,False,drop
train,ASMSpotter-1-3-3-3.png,0.643118,13,13,1.0,True,11.225779,False,drop
train,ASMSpotter-1-3-3-5.png,1.008596,23,24,0.958333,False,10.066988,False,drop
train,ASMSpotter-10-1-1-1.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-1-2.png,inf,0,18,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-1-5.png,inf,0,4,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-1-8.png,inf,0,0,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-2-1.png,inf,0,9,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-2-2.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-3-1.png,inf,0,2,0.0,False,180.0,False,drop
train,ASMSpotter-10-1-3-2.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-10-2-2-1.png,0.87787,643,645,0.996899,False,9.812907,False,drop
train,ASMSpotter-10-2-2-2.png,0.985608,25,26,0.961538,False,10.124427,False,drop
train,ASMSpotter-10-2-3-1.png,inf,0,32,0.0,False,180.0,False,drop
train,ASMSpotter-10-2-3-2.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-10-3-1-1.png,0.939298,13,13,1.0,False,8.095565,False,drop
train,ASMSpotter-10-3-1-2.png,inf,0,17,0.0,False,180.0,False,drop
train,ASMSpotter-10-3-1-3.png,0.906634,353,353,1.0,False,6.308039,False,drop
train,ASMSpotter-10-3-2-1.png,inf,0,15,0.0,False,180.0,False,drop
train,ASMSpotter-10-3-2-2.png,inf,0,13,0.0,False,180.0,False,drop
train,ASMSpotter-10-3-3-1.png,inf,0,4,0.0,False,180.0,False,drop
train,ASMSpotter-10-3-3-2.png,inf,0,31,0.0,False,180.0,False,drop
train,ASMSpotter-11-1-1-1.png,0.672015,6,6,1.0,True,15.83171,False,drop
train,ASMSpotter-11-1-1-2.png,0.764554,11,12,0.916667,False,15.780253,False,drop
train,ASMSpotter-11-1-2-1.png,0.883798,24,28,0.857143,False,14.336641,False,drop
train,ASMSpotter-11-1-2-2.png,0.80408,11,12,0.916667,False,14.446197,False,drop
train,ASMSpotter-11-2-2-1.png,0.872731,350,353,0.991501,False,11.552855,False,drop
train,ASMSpotter-11-2-3-1.png,0.934152,31,33,0.939394,False,14.947382,False,drop
train,ASMSpotter-11-3-1-1.png,inf,0,14,0.0,False,180.0,False,drop
train,ASMSpotter-11-3-3-1.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-12-1-1-1.png,inf,0,8,0.0,False,180.0,False,drop
train,ASMSpotter-12-1-1-2.png,inf,0,5,0.0,False,180.0,False,drop
train,ASMSpotter-12-1-2-1.png,inf,0,6,0.0,False,180.0,False,drop
train,ASMSpotter-12-1-2-2.png,inf,0,5,0.0,False,180.0,False,drop
train,ASMSpotter-12-1-3-1.png,inf,0,21,0.0,False,180.0,False,drop
train,ASMSpotter-12-1-3-2.png,inf,0,13,0.0,False,180.0,False,drop
train,ASMSpotter-12-2-1-1.png,0.62585,18,18,1.0,True,15.347856,False,drop
train,ASMSpotter-12-2-1-2.png,0.663157,30,30,1.0,True,14.555187,False,drop
train,ASMSpotter-12-2-1-5.png,0.9475,365,367,0.99455,False,14.680572,False,drop
train,ASMSpotter-12-2-2-1.png,0.781736,212,212,1.0,False,13.854451,False,drop
train,ASMSpotter-12-2-2-2.png,0.858431,152,153,0.993464,False,12.659449,False,drop
train,ASMSpotter-12-2-3-1.png,1.013087,14,14,1.0,False,11.026851,False,drop
train,ASMSpotter-12-2-3-2.png,0.773708,18,18,1.0,False,10.610328,False,drop
train,ASMSpotter-12-3-1-1.png,0.485554,6,6,1.0,True,14.078213,False,drop
train,ASMSpotter-12-3-1-2.png,0.933181,9,9,1.0,False,16.562265,False,drop
train,ASMSpotter-12-3-2-1.png,0.746316,146,146,1.0,True,14.266687,False,drop
train,ASMSpotter-12-3-3-1.png,0.244753,5,5,1.0,True,13.060461,False,drop
train,ASMSpotter-13-1-1-1.png,0.620056,10,10,1.0,True,14.57641,False,drop
train,ASMSpotter-13-1-1-2.png,inf,0,2,0.0,False,180.0,False,drop
train,ASMSpotter-13-1-2-1.png,1.109741,18,18,1.0,False,12.505737,False,drop
train,ASMSpotter-13-1-2-2.png,1.038704,181,197,0.918782,False,13.417056,False,drop
train,ASMSpotter-13-1-3-1.png,inf,0,2,0.0,False,180.0,False,drop
train,ASMSpotter-13-1-3-2.png,inf,0,23,0.0,False,180.0,False,drop
train,ASMSpotter-13-1-3-3.png,inf,0,6,0.0,False,180.0,False,drop
train,ASMSpotter-13-2-1-1.png,0.796776,299,300,0.996667,False,10.244204,False,drop
train,ASMSpotter-13-2-2-1.png,0.747052,27,27,1.0,True,14.820178,False,drop
train,ASMSpotter-13-2-3-1.png,inf,0,3,0.0,False,180.0,False,drop
train,ASMSpotter-13-2-3-2.png,inf,0,7,0.0,False,180.0,False,drop
train,ASMSpotter-13-3-1-1.png,0.265109,6,6,1.0,True,12.313896,False,drop
train,ASMSpotter-13-3-2-1.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-13-3-3-1.png,inf,0,2,0.0,False,180.0,False,drop
train,ASMSpotter-13-3-3-2.png,inf,0,1,0.0,False,180.0,False,drop
train,ASMSpotter-14-1-1-1.png,inf,0,4,0.0,False,180.0,False,drop
