idx,tile,IPCC Class,SMOD,source,joint_class,split
0,UNHCR-GHAs003590,Settlement,11,UNHCR,UNHCR/Settlement/11,train
1,Landcover-1141448,blank,10,Landcover,Landcover/nan/10,train
2,Landcover-1436463,Forest,11,Landcover,Landcover/Forest/11,train
3,ASMSpotter-11-2-2,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
4,Landcover-817664,Other,11,Landcover,Landcover/Other/11,train
5,Landcover-773920,Settlement,12,Landcover,Landcover/Settlement/12,train
6,UNHCR-NGAs035728,Settlement,11,UNHCR,UNHCR/Settlement/11,train
7,Landcover-1864471,Forest,11,Landcover,Landcover/Forest/11,train
8,Landcover-776921,Settlement,30,Landcover,Landcover/Settlement/30,train
9,UNHCR-NERs009511,Grassland,11,UNHCR,UNHCR/Grassland/11,train
10,Landcover-613267,Other,11,Landcover,Landcover/Other/11,train
11,Landcover-890848,Other,11,Landcover,Landcover/Other/11,train
12,UNHCR-PNGs003128,Forest,11,UNHCR,UNHCR/Forest/11,train
13,Landcover-773835,Settlement,12,Landcover,Landcover/Settlement/12,train
14,Landcover-773502,Settlement,30,Landcover,Landcover/Settlement/30,train
15,Landcover-770802,Settlement,11,Landcover,Landcover/Settlement/11,train
16,UNHCR-SDNs080048,Grassland,11,UNHCR,UNHCR/Grassland/11,train
17,Landcover-103651,Agriculture,11,Landcover,Landcover/Agriculture/11,train
18,UNHCR-SDNs015564,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
19,Landcover-773189,Settlement,30,Landcover,Landcover/Settlement/30,train
20,UNHCR-SDNs034950,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
21,Landcover-774962,Settlement,23,Landcover,Landcover/Settlement/23,train
22,Landcover-778305,Settlement,12,Landcover,Landcover/Settlement/12,train
23,Landcover-1788571,Forest,11,Landcover,Landcover/Forest/11,train
24,UNHCR-AZEs003152,Settlement,23,UNHCR,UNHCR/Settlement/23,train
25,ASMSpotter-2-1-1,Forest,11,ASMSpotter,ASMSpotter/Forest/11,train
26,UNHCR-PAKs006945,Agriculture,13,UNHCR,UNHCR/Agriculture/13,train
27,Landcover-778587,Settlement,11,Landcover,Landcover/Settlement/11,train
28,Landcover-773775,Settlement,12,Landcover,Landcover/Settlement/12,train
29,UNHCR-SSDs004119,Other,11,UNHCR,UNHCR/Other/11,train
30,Landcover-772794,Settlement,11,Landcover,Landcover/Settlement/11,train
31,Landcover-536622,Grassland,11,Landcover,Landcover/Grassland/11,train
32,UNHCR-SSDs025827,Forest,11,UNHCR,UNHCR/Forest/11,train
33,Landcover-8732,Agriculture,11,Landcover,Landcover/Agriculture/11,train
34,Landcover-1000781,Other,11,Landcover,Landcover/Other/11,train
35,UNHCR-NERs009558,Other,11,UNHCR,UNHCR/Other/11,train
36,Landcover-775308,Settlement,11,Landcover,Landcover/Settlement/11,train
37,UNHCR-MARs008597,Settlement,30,UNHCR,UNHCR/Settlement/30,train
38,UNHCR-GEOs002468,Settlement,22,UNHCR,UNHCR/Settlement/22,train
39,Landcover-592294,Grassland,11,Landcover,Landcover/Grassland/11,train
40,Landcover-771259,Settlement,10,Landcover,Landcover/Settlement/10,train
41,UNHCR-SSDs008797,Other,11,UNHCR,UNHCR/Other/11,train
42,UNHCR-NERs009548,Grassland,11,UNHCR,UNHCR/Grassland/11,train
43,UNHCR-ZMBs001622,Other,11,UNHCR,UNHCR/Other/11,train
44,UNHCR-ZWEs002088,Forest,11,UNHCR,UNHCR/Forest/11,train
45,Landcover-771521,Settlement,23,Landcover,Landcover/Settlement/23,train
46,Landcover-989288,Other,11,Landcover,Landcover/Other/11,train
47,UNHCR-SDNs015559,Grassland,11,UNHCR,UNHCR/Grassland/11,train
48,Landcover-448500,Grassland,11,Landcover,Landcover/Grassland/11,train
49,UNHCR-NERs009378,Grassland,11,UNHCR,UNHCR/Grassland/11,train
50,Landcover-1636764,Forest,11,Landcover,Landcover/Forest/11,train
51,Landcover-1797549,Forest,11,Landcover,Landcover/Forest/11,train
52,UNHCR-CAFs033243,Forest,11,UNHCR,UNHCR/Forest/11,train
53,Landcover-1790894,Forest,11,Landcover,Landcover/Forest/11,train
54,Amnesty POI-17-2-2,Forest,11,Amnesty,Amnesty/Forest/11,train
55,Landcover-151915,Forest,11,Landcover,Landcover/Forest/11,train
56,Amnesty POI-22-1-1,Water,11,Amnesty,Amnesty/Water/11,train
57,UNHCR-NERs009629,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
58,Landcover-740491,Forest,11,Landcover,Landcover/Forest/11,train
59,UNHCR-COGs002979,Water,11,UNHCR,UNHCR/Water/11,train
60,Landcover-770024,Settlement,21,Landcover,Landcover/Settlement/21,train
61,UNHCR-ERIs002007,Water,30,UNHCR,UNHCR/Water/30,train
62,Landcover-770080,Settlement,11,Landcover,Landcover/Settlement/11,train
63,UNHCR-SOMs027992,Settlement,11,UNHCR,UNHCR/Settlement/11,train
64,Landcover-1177737,blank,11,Landcover,Landcover/nan/11,train
65,UNHCR-NGAs035504,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
66,Landcover-774604,Settlement,12,Landcover,Landcover/Settlement/12,train
67,Landcover-775261,Settlement,23,Landcover,Landcover/Settlement/23,train
68,Amnesty POI-5-3-3,Agriculture,11,Amnesty,Amnesty/Agriculture/11,train
69,Amnesty POI-2-2-1,Settlement,11,Amnesty,Amnesty/Settlement/11,train
70,UNHCR-NGAs035603,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
71,UNHCR-ETHs004074,Grassland,11,UNHCR,UNHCR/Grassland/11,train
72,Landcover-1640238,Forest,11,Landcover,Landcover/Forest/11,train
73,Landcover-776527,Settlement,11,Landcover,Landcover/Settlement/11,train
74,Landcover-774432,Settlement,12,Landcover,Landcover/Settlement/12,train
75,UNHCR-NGAs035833,Agriculture,11,UNHCR,UNHCR/Agriculture/11,train
76,UNHCR-SDNs027974,Other,11,UNHCR,UNHCR/Other/11,train
77,UNHCR-SDNs080069,Settlement,12,UNHCR,UNHCR/Settlement/12,train
